City_id,CityName,STATE_ABR,State_NM
322,"Wilmington, NC",NC,"North Carolina"
323,"Wilmington, OH",OH,Ohio
324,"Iron Mountain/Kingsfd, MI",MI,Michigan
325,"Indianapolis, IN",IN,Indiana
326,"International Falls, MN",MN,Minnesota
327,"Winston-Salem, NC",NC,"North Carolina"
328,"El Centro, CA",CA,California
329,"Williamsport, PA",PA,Pennsylvania
330,"Circle, AK",AK,Alaska
331,"Kirksville, MO",MO,Missouri
332,"Orlando, FL",FL,Florida
333,"Islip, NY",NY,"New York"
334,"Ithaca/Cortland, NY",NY,"New York"
335,"Hilo, HI",HI,Hawaii
336,"Ironwood, MI",MI,Michigan
337,"Inyokern, CA",CA,California
338,"Jackson, WY",WY,Wyoming
